Stature,Head breadth,Head depth,Head circumference,Face length
1625.0,144.0,182.0,558.0,116.0
1709.0,150.0,193.0,559.0,108.0
1745.0,151.0,190.0,557.0,123.0
1694.0,146.0,193.0,560.0,104.0
1690.0,155.0,198.0,573.0,121.0
1726.0,151.0,213.0,604.0,120.0
1843.0,158.0,199.0,575.0,117.0
1802.0,153.0,206.0,590.0,129.0
1715.0,147.0,203.0,560.0,115.0
1667.0,154.0,180.0,565.0,112.0
1740.0,162.0,195.0,573.0,111.0
1760.0,155.0,188.0,557.0,111.0
1812.0,148.0,201.0,572.0,126.0
1701.0,152.0,203.0,563.0,125.0
1693.0,151.0,190.0,562.0,116.0
1869.0,164.0,208.0,602.0,123.0
1644.0,148.0,197.0,576.0,110.0
1707.0,147.0,195.0,555.0,116.0
1786.0,146.0,192.0,560.0,118.0
1829.0,160.0,202.0,587.0,127.0
1675.0,148.0,176.0,535.0,114.0
1629.0,150.0,184.0,562.0,114.0
1785.0,144.0,202.0,562.0,123.0
1616.0,146.0,183.0,544.0,115.0
1695.0,156.0,203.0,582.0,126.0
1703.0,146.0,190.0,555.0,109.0
1828.0,161.0,202.0,584.0,121.0
1640.0,150.0,195.0,541.0,111.0
1660.0,145.0,185.0,538.0,106.0
1736.0,142.0,188.0,557.0,117.0
1616.0,143.0,192.0,537.0,106.0
1667.0,145.0,194.0,555.0,111.0
1590.0,150.0,191.0,558.0,117.0
1697.0,137.0,191.0,556.0,113.0
1965.0,154.0,197.0,581.0,129.0
1709.0,151.0,189.0,551.0,111.0
1608.0,154.0,184.0,542.0,121.0
1980.0,155.0,215.0,607.0,147.0
1766.0,140.0,201.0,575.0,119.0
1918.0,174.0,202.0,606.0,122.0
1709.0,148.0,200.0,565.0,108.0
1803.0,155.0,196.0,568.0,117.0
1629.0,146.0,189.0,541.0,116.0
1759.0,156.0,195.0,568.0,131.0
1784.0,152.0,195.0,575.0,128.0
1706.0,157.0,210.0,592.0,129.0
1659.0,153.0,207.0,585.0,110.0
1800.0,142.0,201.0,568.0,122.0
1742.0,146.0,195.0,568.0,124.0
